,Unnamed: 0,title,episode_id,opening_crawl,director,producer,release_date,characters,planets,starships,vehicles,species,created,edited,url
0,0,a new hope,4,"it is a period of civil war
rebel spaceships striking
from a hidden base have won
their first victory against
the evil galactic empire

during the battle rebel
spies managed to steal secret
plans to the empires
ultimate weapon the death
star an armored space
station with enough power
to destroy an entire planet

pursued by the empires
sinister agents princess
leia races home aboard her
starship custodian of the
stolen plans that can save her
people and restore
freedom to the galaxy",george lucas,gary kurtz rick mccallum,19770525,httpsswapidevapipeople1 httpsswapidevapipeople2 httpsswapidevapipeople3 httpsswapidevapipeople4 httpsswapidevapipeople5 httpsswapidevapipeople6 httpsswapidevapipeople7 httpsswapidevapipeople8 httpsswapidevapipeople9 httpsswapidevapipeople10 httpsswapidevapipeople12 httpsswapidevapipeople13 httpsswapidevapipeople14 httpsswapidevapipeople15 httpsswapidevapipeople16 httpsswapidevapipeople18 httpsswapidevapipeople19 httpsswapidevapipeople81,httpsswapidevapiplanets1 httpsswapidevapiplanets2 httpsswapidevapiplanets3,httpsswapidevapistarships2 httpsswapidevapistarships3 httpsswapidevapistarships5 httpsswapidevapistarships9 httpsswapidevapistarships10 httpsswapidevapistarships11 httpsswapidevapistarships12 httpsswapidevapistarships13,httpsswapidevapivehicles4 httpsswapidevapivehicles6 httpsswapidevapivehicles7 httpsswapidevapivehicles8,httpsswapidevapispecies1 httpsswapidevapispecies2 httpsswapidevapispecies3 httpsswapidevapispecies4 httpsswapidevapispecies5,20141210t142331880000z,20141220t194945256000z,httpsswapidevapifilms1
1,1,the empire strikes back,5,"it is a dark time for the
rebellion although the death
star has been destroyed
imperial troops have driven the
rebel forces from their hidden
base and pursued them across
the galaxy

evading the dreaded imperial
starfleet a group of freedom
fighters led by luke skywalker
has established a new secret
base on the remote ice world
of hoth

the evil lord darth vader
obsessed with finding young
skywalker has dispatched
thousands of remote probes into
the far reaches of space",irvin kershner,gary kurtz rick mccallum,19800517,httpsswapidevapipeople1 httpsswapidevapipeople2 httpsswapidevapipeople3 httpsswapidevapipeople4 httpsswapidevapipeople5 httpsswapidevapipeople10 httpsswapidevapipeople13 httpsswapidevapipeople14 httpsswapidevapipeople18 httpsswapidevapipeople20 httpsswapidevapipeople21 httpsswapidevapipeople22 httpsswapidevapipeople23 httpsswapidevapipeople24 httpsswapidevapipeople25 httpsswapidevapipeople26,httpsswapidevapiplanets4 httpsswapidevapiplanets5 httpsswapidevapiplanets6 httpsswapidevapiplanets27,httpsswapidevapistarships3 httpsswapidevapistarships10 httpsswapidevapistarships11 httpsswapidevapistarships12 httpsswapidevapistarships15 httpsswapidevapistarships17 httpsswapidevapistarships21 httpsswapidevapistarships22 httpsswapidevapistarships23,httpsswapidevapivehicles8 httpsswapidevapivehicles14 httpsswapidevapivehicles16 httpsswapidevapivehicles18 httpsswapidevapivehicles19 httpsswapidevapivehicles20,httpsswapidevapispecies1 httpsswapidevapispecies2 httpsswapidevapispecies3 httpsswapidevapispecies6 httpsswapidevapispecies7,20141212t112624656000z,20141215t130753386000z,httpsswapidevapifilms2
2,2,return of the jedi,6,"luke skywalker has returned to
his home planet of tatooine in
an attempt to rescue his
friend han solo from the
clutches of the vile gangster
jabba the hutt

little does luke know that the
galactic empire has secretly
begun construction on a new
armored space station even
more powerful than the first
dreaded death star

when completed this ultimate
weapon will spell certain doom
for the small band of rebels
struggling to restore freedom
to the galaxy",richard marquand,howard g kazanjian george lucas rick mccallum,19830525,httpsswapidevapipeople1 httpsswapidevapipeople2 httpsswapidevapipeople3 httpsswapidevapipeople4 httpsswapidevapipeople5 httpsswapidevapipeople10 httpsswapidevapipeople13 httpsswapidevapipeople14 httpsswapidevapipeople16 httpsswapidevapipeople18 httpsswapidevapipeople20 httpsswapidevapipeople21 httpsswapidevapipeople22 httpsswapidevapipeople25 httpsswapidevapipeople27 httpsswapidevapipeople28 httpsswapidevapipeople29 httpsswapidevapipeople30 httpsswapidevapipeople31 httpsswapidevapipeople45,httpsswapidevapiplanets1 httpsswapidevapiplanets5 httpsswapidevapiplanets7 httpsswapidevapiplanets8 httpsswapidevapiplanets9,httpsswapidevapistarships2 httpsswapidevapistarships3 httpsswapidevapistarships10 httpsswapidevapistarships11 httpsswapidevapistarships12 httpsswapidevapistarships15 httpsswapidevapistarships17 httpsswapidevapistarships22 httpsswapidevapistarships23 httpsswapidevapistarships27 httpsswapidevapistarships28 httpsswapidevapistarships29,httpsswapidevapivehicles8 httpsswapidevapivehicles16 httpsswapidevapivehicles18 httpsswapidevapivehicles19 httpsswapidevapivehicles24 httpsswapidevapivehicles25 httpsswapidevapivehicles26 httpsswapidevapivehicles30,httpsswapidevapispecies1 httpsswapidevapispecies2 httpsswapidevapispecies3 httpsswapidevapispecies5 httpsswapidevapispecies6 httpsswapidevapispecies8 httpsswapidevapispecies9 httpsswapidevapispecies10 httpsswapidevapispecies15,20141218t103933255000z,20141220t094837462000z,httpsswapidevapifilms3
3,3,the phantom menace,1,"turmoil has engulfed the
galactic republic the taxation
of trade routes to outlying star
systems is in dispute

hoping to resolve the matter
with a blockade of deadly
battleships the greedy trade
federation has stopped all
shipping to the small planet
of naboo

while the congress of the
republic endlessly debates
this alarming chain of events
the supreme chancellor has
secretly dispatched two jedi
knights the guardians of
peace and justice in the
galaxy to settle the conflict",george lucas,rick mccallum,19990519,httpsswapidevapipeople2 httpsswapidevapipeople3 httpsswapidevapipeople10 httpsswapidevapipeople11 httpsswapidevapipeople16 httpsswapidevapipeople20 httpsswapidevapipeople21 httpsswapidevapipeople32 httpsswapidevapipeople33 httpsswapidevapipeople34 httpsswapidevapipeople35 httpsswapidevapipeople36 httpsswapidevapipeople37 httpsswapidevapipeople38 httpsswapidevapipeople39 httpsswapidevapipeople40 httpsswapidevapipeople41 httpsswapidevapipeople42 httpsswapidevapipeople43 httpsswapidevapipeople44 httpsswapidevapipeople46 httpsswapidevapipeople47 httpsswapidevapipeople48 httpsswapidevapipeople49 httpsswapidevapipeople50 httpsswapidevapipeople51 httpsswapidevapipeople52 httpsswapidevapipeople53 httpsswapidevapipeople54 httpsswapidevapipeople55 httpsswapidevapipeople56 httpsswapidevapipeople57 httpsswapidevapipeople58 httpsswapidevapipeople59,httpsswapidevapiplanets1 httpsswapidevapiplanets8 httpsswapidevapiplanets9,httpsswapidevapistarships31 httpsswapidevapistarships32 httpsswapidevapistarships39 httpsswapidevapistarships40 httpsswapidevapistarships41,httpsswapidevapivehicles33 httpsswapidevapivehicles34 httpsswapidevapivehicles35 httpsswapidevapivehicles36 httpsswapidevapivehicles37 httpsswapidevapivehicles38 httpsswapidevapivehicles42,httpsswapidevapispecies1 httpsswapidevapispecies2 httpsswapidevapispecies6 httpsswapidevapispecies11 httpsswapidevapispecies12 httpsswapidevapispecies13 httpsswapidevapispecies14 httpsswapidevapispecies15 httpsswapidevapispecies16 httpsswapidevapispecies17 httpsswapidevapispecies18 httpsswapidevapispecies19 httpsswapidevapispecies20 httpsswapidevapispecies21 httpsswapidevapispecies22 httpsswapidevapispecies23 httpsswapidevapispecies24 httpsswapidevapispecies25 httpsswapidevapispecies26 httpsswapidevapispecies27,20141219t165255740000z,20141220t105407216000z,httpsswapidevapifilms4
4,4,attack of the clones,2,"there is unrest in the galactic
senate several thousand solar
systems have declared their
intentions to leave the republic

this separatist movement
under the leadership of the
mysterious count dooku has
made it difficult for the limited
number of jedi knights to maintain 
peace and order in the galaxy

senator amidala the former
queen of naboo is returning
to the galactic senate to vote
on the critical issue of creating
an army of the republic
to assist the overwhelmed
jedi",george lucas,rick mccallum,20020516,httpsswapidevapipeople2 httpsswapidevapipeople3 httpsswapidevapipeople6 httpsswapidevapipeople7 httpsswapidevapipeople10 httpsswapidevapipeople11 httpsswapidevapipeople20 httpsswapidevapipeople21 httpsswapidevapipeople22 httpsswapidevapipeople33 httpsswapidevapipeople35 httpsswapidevapipeople36 httpsswapidevapipeople40 httpsswapidevapipeople43 httpsswapidevapipeople46 httpsswapidevapipeople51 httpsswapidevapipeople52 httpsswapidevapipeople53 httpsswapidevapipeople58 httpsswapidevapipeople59 httpsswapidevapipeople60 httpsswapidevapipeople61 httpsswapidevapipeople62 httpsswapidevapipeople63 httpsswapidevapipeople64 httpsswapidevapipeople65 httpsswapidevapipeople66 httpsswapidevapipeople67 httpsswapidevapipeople68 httpsswapidevapipeople69 httpsswapidevapipeople70 httpsswapidevapipeople71 httpsswapidevapipeople72 httpsswapidevapipeople73 httpsswapidevapipeople74 httpsswapidevapipeople75 httpsswapidevapipeople76 httpsswapidevapipeople77 httpsswapidevapipeople78 httpsswapidevapipeople82,httpsswapidevapiplanets1 httpsswapidevapiplanets8 httpsswapidevapiplanets9 httpsswapidevapiplanets10 httpsswapidevapiplanets11,httpsswapidevapistarships21 httpsswapidevapistarships32 httpsswapidevapistarships39 httpsswapidevapistarships43 httpsswapidevapistarships47 httpsswapidevapistarships48 httpsswapidevapistarships49 httpsswapidevapistarships52 httpsswapidevapistarships58,httpsswapidevapivehicles4 httpsswapidevapivehicles44 httpsswapidevapivehicles45 httpsswapidevapivehicles46 httpsswapidevapivehicles50 httpsswapidevapivehicles51 httpsswapidevapivehicles53 httpsswapidevapivehicles54 httpsswapidevapivehicles55 httpsswapidevapivehicles56 httpsswapidevapivehicles57,httpsswapidevapispecies1 httpsswapidevapispecies2 httpsswapidevapispecies6 httpsswapidevapispecies12 httpsswapidevapispecies13 httpsswapidevapispecies15 httpsswapidevapispecies28 httpsswapidevapispecies29 httpsswapidevapispecies30 httpsswapidevapispecies31 httpsswapidevapispecies32 httpsswapidevapispecies33 httpsswapidevapispecies34 httpsswapidevapispecies35,20141220t105757886000z,20141220t201848516000z,httpsswapidevapifilms5
5,5,revenge of the sith,3,"war the republic is crumbling
under attacks by the ruthless
sith lord count dooku
there are heroes on both sides
evil is everywhere

in a stunning move the
fiendish droid leader general
grievous has swept into the
republic capital and kidnapped
chancellor palpatine leader of
the galactic senate

as the separatist droid army
attempts to flee the besieged
capital with their valuable
hostage two jedi knights lead a
desperate mission to rescue the
captive chancellor",george lucas,rick mccallum,20050519,httpsswapidevapipeople1 httpsswapidevapipeople2 httpsswapidevapipeople3 httpsswapidevapipeople4 httpsswapidevapipeople5 httpsswapidevapipeople6 httpsswapidevapipeople7 httpsswapidevapipeople10 httpsswapidevapipeople11 httpsswapidevapipeople12 httpsswapidevapipeople13 httpsswapidevapipeople20 httpsswapidevapipeople21 httpsswapidevapipeople33 httpsswapidevapipeople35 httpsswapidevapipeople46 httpsswapidevapipeople51 httpsswapidevapipeople52 httpsswapidevapipeople53 httpsswapidevapipeople54 httpsswapidevapipeople55 httpsswapidevapipeople56 httpsswapidevapipeople58 httpsswapidevapipeople63 httpsswapidevapipeople64 httpsswapidevapipeople67 httpsswapidevapipeople68 httpsswapidevapipeople75 httpsswapidevapipeople78 httpsswapidevapipeople79 httpsswapidevapipeople80 httpsswapidevapipeople81 httpsswapidevapipeople82 httpsswapidevapipeople83,httpsswapidevapiplanets1 httpsswapidevapiplanets2 httpsswapidevapiplanets5 httpsswapidevapiplanets8 httpsswapidevapiplanets9 httpsswapidevapiplanets12 httpsswapidevapiplanets13 httpsswapidevapiplanets14 httpsswapidevapiplanets15 httpsswapidevapiplanets16 httpsswapidevapiplanets17 httpsswapidevapiplanets18 httpsswapidevapiplanets19,httpsswapidevapistarships2 httpsswapidevapistarships32 httpsswapidevapistarships48 httpsswapidevapistarships59 httpsswapidevapistarships61 httpsswapidevapistarships63 httpsswapidevapistarships64 httpsswapidevapistarships65 httpsswapidevapistarships66 httpsswapidevapistarships68 httpsswapidevapistarships74 httpsswapidevapistarships75,httpsswapidevapivehicles33 httpsswapidevapivehicles50 httpsswapidevapivehicles53 httpsswapidevapivehicles56 httpsswapidevapivehicles60 httpsswapidevapivehicles62 httpsswapidevapivehicles67 httpsswapidevapivehicles69 httpsswapidevapivehicles70 httpsswapidevapivehicles71 httpsswapidevapivehicles72 httpsswapidevapivehicles73 httpsswapidevapivehicles76,httpsswapidevapispecies1 httpsswapidevapispecies2 httpsswapidevapispecies3 httpsswapidevapispecies6 httpsswapidevapispecies15 httpsswapidevapispecies19 httpsswapidevapispecies20 httpsswapidevapispecies23 httpsswapidevapispecies24 httpsswapidevapispecies25 httpsswapidevapispecies26 httpsswapidevapispecies27 httpsswapidevapispecies28 httpsswapidevapispecies29 httpsswapidevapispecies30 httpsswapidevapispecies33 httpsswapidevapispecies34 httpsswapidevapispecies35 httpsswapidevapispecies36 httpsswapidevapispecies37,20141220t184938403000z,20141220t204752073000z,httpsswapidevapifilms6
